sequence,v115@vhH5DJOkBlgBzkBlmBcsBKtB3qB,v115@vhHT/IlgBypBlmBcsBOtB5oB3qB,v115@vhH5DJTfBllB3mBcsBKtBmpBlqB,v115@vhHNEJzgB3mBcsBNtBGqB5oBaqB,v115@vhHOEJlgBzkB0mB3qBFtB5oBisB
TTJIZOSL,X,X,X,X,X
TTJIOLSZ,X,X,X,X,X
TTJIOLZS,X,X,X,X,X
TTJIOSLZ,X,X,X,X,X
TTJIOSZL,X,X,X,X,X
TTJIOZLS,X,X,X,X,X
TTJIOZSL,X,X,X,X,X
TTJLISZO,X,X,X,X,X
TTJLISOZ,X,X,X,X,X
TTJLIZSO,X,X,X,X,X
TTJLIZOS,X,X,X,X,X
TTJLIOSZ,X,X,X,X,X
TTJLIOZS,X,X,X,X,X
TTJLSIZO,X,X,X,X,X
TTJLSIOZ,X,X,X,X,X
TTJLSZIO,X,X,X,X,X
TTJLSZOI,X,X,X,X,X
TTJLSOIZ,X,X,X,X,X
TTJLSOZI,X,X,X,X,X
TTJLZISO,X,X,X,X,X
TTJLZIOS,X,X,X,X,X
TTJLZSIO,X,X,X,X,X
TTJLZSOI,X,X,X,X,X
TTJLZOIS,X,X,X,X,X
TTJLZOSI,X,X,X,X,X
TTJLOISZ,X,X,X,X,X
TTJLOIZS,X,X,X,X,X
TTJLOSIZ,X,X,X,X,X
TTJLOSZI,X,X,X,X,X
TTJLOZIS,X,X,X,X,X
TTJLOZSI,X,X,X,X,X
TTJSILZO,X,X,X,X,X
TTJSILOZ,X,X,X,X,X
TTJSIZLO,X,X,X,X,X
TTJSIZOL,X,X,X,X,X
TTJSIOLZ,X,X,X,X,X
TTJSIOZL,X,X,X,X,X
TTJSLIZO,X,X,X,X,X
TTJSLIOZ,X,X,X,X,X
TTJSLZIO,X,X,X,X,X
TTJSLZOI,X,X,X,X,X
TTJSLOIZ,X,X,X,X,X
TTJSLOZI,X,X,X,X,X
TTJSZILO,X,X,X,X,X
TTJSZIOL,X,X,X,X,X
TTJSZLIO,X,X,X,X,X
TTJSZLOI,X,X,X,X,X
TTJSZOIL,X,X,X,X,X
TTJSZOLI,X,X,X,X,X
TTJSOILZ,X,X,X,X,X
TTJSOIZL,X,X,X,X,X
TTJSOLIZ,X,X,X,X,X
TTJSOLZI,X,X,X,X,X
TTJSOZIL,X,X,X,X,X
TTJSOZLI,X,X,X,X,X
TTJZILSO,X,X,X,X,X
TTJZILOS,X,X,X,X,X
TTJZISLO,X,X,X,X,X
TTJZISOL,X,X,X,X,X
TTJZIOLS,X,X,X,X,X
TTJZIOSL,X,X,X,X,X
TTJZLISO,X,X,X,X,X
TTJZLIOS,X,X,X,X,X
TTJZLSIO,X,X,X,X,X
TTJZLSOI,X,X,X,X,X
TTJZLOIS,X,X,X,X,X
TTJZLOSI,X,X,X,X,X
TTJZSILO,X,X,X,X,X
TTJZSIOL,X,X,X,X,X
TTJZSLIO,X,X,X,X,X
TTJZSLOI,X,X,X,X,X
TTJZSOIL,X,X,X,X,X
TTJZSOLI,X,X,X,X,X
TTJZOILS,X,X,X,X,X
TTJZOISL,X,X,X,X,X
TTJZOLIS,X,X,X,X,X
TTJZOLSI,X,X,X,X,X
TTJZOSIL,X,X,X,X,X
TTJZOSLI,X,X,X,X,X
TTJOILSZ,X,X,X,X,X
TTJOILZS,X,X,X,X,X
TTJOISLZ,X,X,X,X,X
TTJOISZL,X,X,X,X,X
TTJOIZLS,X,X,X,X,X
TTJOIZSL,X,X,X,X,X
TTJOLISZ,X,X,X,X,X
TTJOLIZS,X,X,X,X,X
TTJOLSIZ,X,X,X,X,X
TTJOLSZI,X,X,X,X,X
TTJOLZIS,X,X,X,X,X
TTJOLZSI,X,X,X,X,X
TTJOSILZ,X,X,X,X,X
TTJOSIZL,X,X,X,X,X
TTJOSLIZ,X,X,X,X,X
TTJOSLZI,X,X,X,X,X
TTJOSZIL,X,X,X,X,X
TTJOSZLI,X,X,X,X,X
TTJOZILS,X,X,X,X,X
TTJOZISL,X,X,X,X,X
TTJOZLIS,X,X,X,X,X
TTJOZLSI,X,X,X,X,X
TTJOZSIL,X,X,X,X,X
TTJOZSLI,X,X,X,X,X
TTSILJZO,X,X,X,X,X
TTSILJOZ,X,X,X,X,X
TTSILZJO,X,X,X,X,X
TTSILZOJ,X,X,X,X,X
TTSILOJZ,X,X,X,X,X
TTSILOZJ,X,X,X,X,X
TTSIJLZO,X,X,X,X,X
TTSIJLOZ,X,X,X,X,X
TTSIJZLO,X,X,X,X,X
TTSIJZOL,X,X,X,X,X
TTSIJOLZ,X,X,X,X,X
TTSIJOZL,X,X,X,X,X
TTSIZLJO,X,X,X,X,X
TTSIZLOJ,X,X,X,X,X
TTSIZJLO,X,X,X,X,X
TTSIZJOL,X,X,X,X,X
TTSIZOLJ,X,X,X,X,X
TTSIZOJL,X,X,X,X,X
TTSIOLJZ,X,X,X,X,X
TTSIOLZJ,X,X,X,X,X
TTSIOJLZ,X,X,X,X,X
TTSIOJZL,X,X,X,X,X
TTSIOZLJ,X,X,X,X,X
TTSIOZJL,X,X,X,X,X
TTSLIJZO,X,X,X,X,X
TTSLIJOZ,X,X,X,X,X
TTSLIZJO,X,X,X,X,X
TTSLIZOJ,X,X,X,X,X
TTSLIOJZ,X,X,X,X,X
TTSLIOZJ,X,X,X,X,X
TTSLJIZO,X,X,X,X,X
TTSLJIOZ,X,X,X,X,X
TTSLJZIO,X,X,X,X,X
TTSLJZOI,X,X,X,X,X
TTSLJOIZ,X,X,X,X,X
TTSLJOZI,X,X,X,X,X
TTSLZIJO,X,X,X,X,X
TTSLZIOJ,X,X,X,X,X
TTSLZJIO,X,X,X,X,X
TTSLZJOI,X,X,X,X,X
TTSLZOIJ,X,X,X,X,X
TTSLZOJI,X,X,X,X,X
TTSLOIJZ,X,X,X,X,X
TTSLOIZJ,X,X,X,X,X
TTSLOJIZ,X,X,X,X,X
TTSLOJZI,X,X,X,X,X
TTSLOZIJ,X,X,X,X,X
TTSLOZJI,X,X,X,X,X
TTSJILZO,X,X,X,X,X
TTSJILOZ,X,X,X,X,X
TTSJIZLO,X,X,X,X,X
TTSJIZOL,X,X,X,X,X
TTSJIOLZ,X,X,X,X,X
TTSJIOZL,X,X,X,X,X
TTSJLIZO,X,X,X,X,X
TTSJLIOZ,X,X,X,X,X
TTSJLZIO,X,X,X,X,X
TTSJLZOI,X,X,X,X,X
TTSJLOIZ,X,X,X,X,X
TTSJLOZI,X,X,X,X,X
TTSJZILO,X,X,X,X,X
TTSJZIOL,X,X,X,X,X
TTSJZLIO,X,X,X,X,X
TTSJZLOI,X,X,X,X,X
TTSJZOIL,X,X,X,X,X
TTSJZOLI,X,X,X,X,X
TTSJOILZ,X,X,X,X,X
TTSJOIZL,X,X,X,X,X
TTSJOLIZ,X,X,X,X,X
TTSJOLZI,X,X,X,X,X
TTSJOZIL,X,X,X,X,X
TTSJOZLI,X,X,X,X,X
TTSZILJO,X,X,X,X,X
TTSZILOJ,X,X,X,X,X
TTSZIJLO,X,X,X,X,X
TTSZIJOL,X,X,X,X,X
TTSZIOLJ,X,X,X,X,X
TTSZIOJL,X,X,X,X,X
TTSZLIJO,X,X,X,X,X
TTSZLIOJ,X,X,X,X,X
TTSZLJIO,X,X,X,X,X
TTSZLJOI,X,X,X,X,X
TTSZLOIJ,X,X,X,X,X
TTSZLOJI,X,X,X,X,X
TTSZJILO,X,X,X,X,X
TTSZJIOL,X,X,X,X,X
TTSZJLIO,X,X,X,X,X
TTSZJLOI,X,X,X,X,X
TTSZJOIL,X,X,X,X,X
TTSZJOLI,X,X,X,X,X
TTSZOILJ,X,X,X,X,X
TTSZOIJL,X,X,X,X,X
TTSZOLIJ,X,X,X,X,X
TTSZOLJI,X,X,X,X,X
TTSZOJIL,X,X,X,X,X
TTSZOJLI,X,X,X,X,X
TTSOILJZ,X,X,X,X,X
TTSOILZJ,X,X,X,X,X
TTSOIJLZ,X,X,X,X,X
TTSOIJZL,X,X,X,X,X
TTSOIZLJ,X,X,X,X,X
TTSOIZJL,X,X,X,X,X
TTSOLIJZ,X,X,X,X,X
TTSOLIZJ,X,X,X,X,X
TTSOLJIZ,X,X,X,X,X
TTSOLJZI,X,X,X,X,X
TTSOLZIJ,X,X,X,X,X
TTSOLZJI,X,X,X,X,X
TTSOJILZ,X,X,X,X,X
TTSOJIZL,X,X,X,X,X
TTSOJLIZ,X,X,X,X,X
TTSOJLZI,X,X,X,X,X
TTSOJZIL,X,X,X,X,X
TTSOJZLI,X,X,X,X,X
TTSOZILJ,X,X,X,X,X
TTSOZIJL,X,X,X,X,X
TTSOZLIJ,X,X,X,X,X
TTSOZLJI,X,X,X,X,X
TTSOZJIL,X,X,X,X,X
TTSOZJLI,X,X,X,X,X
TTZILJSO,X,X,X,X,X
TTZILJOS,X,X,X,X,X
TTZILSJO,X,X,X,X,X
TTZILSOJ,X,X,X,X,X
TTZILOJS,X,X,X,X,X
TTZILOSJ,X,X,X,X,X
TTZIJLSO,X,X,X,X,X
TTZIJLOS,X,X,X,X,X
TTZIJSLO,X,X,X,X,X
TTZIJSOL,X,X,X,X,X
TTZIJOLS,X,X,X,X,X
TTZIJOSL,X,X,X,X,X
TTZISLJO,X,X,X,X,X
TTZISLOJ,X,X,X,X,X
TTZISJLO,X,X,X,X,X
TTZISJOL,X,X,X,X,X
TTZISOLJ,X,X,X,X,X
TTZISOJL,X,X,X,X,X
TTZIOLJS,X,X,X,X,X
TTZIOLSJ,X,X,X,X,X
TTZIOJLS,X,X,X,X,X
TTZIOJSL,X,X,X,X,X
TTZIOSLJ,X,X,X,X,X
TTZIOSJL,X,X,X,X,X
TTZLIJSO,X,X,X,X,X
TTZLIJOS,X,X,X,X,X
TTZLISJO,X,X,X,X,X
TTZLISOJ,X,X,X,X,X
TTZLIOJS,X,X,X,X,X
TTZLIOSJ,X,X,X,X,X
TTZLJISO,X,X,X,X,X
TTZLJIOS,X,X,X,X,X
TTZLJSIO,X,X,X,X,X
TTZLJSOI,X,X,X,X,X
TTZLJOIS,X,X,X,X,X
TTZLJOSI,X,X,X,X,X
TTZLSIJO,X,X,X,X,X
TTZLSIOJ,X,X,X,X,X
TTZLSJIO,X,X,X,X,X
TTZLSJOI,X,X,X,X,X
TTZLSOIJ,X,X,X,X,X
TTZLSOJI,X,X,X,X,X
TTZLOIJS,X,X,X,X,X
TTZLOISJ,X,X,X,X,X
TTZLOJIS,X,X,X,X,X
TTZLOJSI,X,X,X,X,X
TTZLOSIJ,X,X,X,X,X
TTZLOSJI,X,X,X,X,X
TTZJILSO,X,X,X,X,X
TTZJILOS,X,X,X,X,X
TTZJISLO,X,X,X,X,X
TTZJISOL,X,X,X,X,X
TTZJIOLS,X,X,X,X,X
TTZJIOSL,X,X,X,X,X
TTZJLISO,X,X,X,X,X
TTZJLIOS,X,X,X,X,X
TTZJLSIO,X,X,X,X,X
TTZJLSOI,X,X,X,X,X
TTZJLOIS,X,X,X,X,X
TTZJLOSI,X,X,X,X,X
TTZJSILO,X,X,X,X,X
TTZJSIOL,X,X,X,X,X
TTZJSLIO,X,X,X,X,X
TTZJSLOI,X,X,X,X,X
TTZJSOIL,X,X,X,X,X
TTZJSOLI,X,X,X,X,X
TTZJOILS,X,X,X,X,X
TTZJOISL,X,X,X,X,X
TTZJOLIS,X,X,X,X,X
TTZJOLSI,X,X,X,X,X
TTZJOSIL,X,X,X,X,X
TTZJOSLI,X,X,X,X,X
TTZSILJO,X,X,X,X,X
TTZSILOJ,X,X,X,X,X
TTZSIJLO,X,X,X,X,X
TTZSIJOL,X,X,X,X,X
TTZSIOLJ,X,X,X,X,X
TTZSIOJL,X,X,X,X,X
TTZSLIJO,X,X,X,X,X
TTZSLIOJ,X,X,X,X,X
TTZSLJIO,X,X,X,X,X
TTZSLJOI,X,X,X,X,X
TTZSLOIJ,X,X,X,X,X
TTZSLOJI,X,X,X,X,X
TTZSJILO,X,X,X,X,X
TTZSJIOL,X,X,X,X,X
TTZSJLIO,X,X,X,X,X
TTZSJLOI,X,X,X,X,X
TTZSJOIL,X,X,X,X,X
TTZSJOLI,X,X,X,X,X
TTZSOILJ,X,X,X,X,X
TTZSOIJL,X,X,X,X,X
TTZSOLIJ,X,X,X,X,X
TTZSOLJI,X,X,X,X,X
TTZSOJIL,X,X,X,X,X
TTZSOJLI,X,X,X,X,X
TTZOILJS,X,X,X,X,X
TTZOILSJ,X,X,X,X,X
TTZOIJLS,X,X,X,X,X
TTZOIJSL,X,X,X,X,X
TTZOISLJ,X,X,X,X,X
TTZOISJL,X,X,X,X,X
TTZOLIJS,X,X,X,X,X
TTZOLISJ,X,X,X,X,X
TTZOLJIS,X,X,X,X,X
TTZOLJSI,X,X,X,X,X
TTZOLSIJ,X,X,X,X,X
TTZOLSJI,X,X,X,X,X
TTZOJILS,X,X,X,X,X
TTZOJISL,X,X,X,X,X
TTZOJLIS,X,X,X,X,X
TTZOJLSI,X,X,X,X,X
TTZOJSIL,X,X,X,X,X
TTZOJSLI,X,X,X,X,X
TTZOSILJ,X,X,X,X,X
TTZOSIJL,X,X,X,X,X
TTZOSLIJ,X,X,X,X,X
TTZOSLJI,X,X,X,X,X
TTZOSJIL,X,X,X,X,X
TTZOSJLI,X,X,X,X,X
TTOILJSZ,X,X,X,X,X
TTOILJZS,X,X,X,X,X
TTOILSJZ,X,X,X,X,X
TTOILSZJ,X,X,X,X,X
TTOILZJS,X,X,X,X,X
TTOILZSJ,X,X,X,X,X
TTOIJLSZ,X,X,X,X,X
TTOIJLZS,X,X,X,X,X
TTOIJSLZ,X,X,X,X,X
TTOIJSZL,X,X,X,X,X
TTOIJZLS,X,X,X,X,X
TTOIJZSL,X,X,X,X,X
TTOISLJZ,X,X,X,X,X
TTOISLZJ,X,X,X,X,X
TTOISJLZ,X,X,X,X,X
TTOISJZL,X,X,X,X,X
TTOISZLJ,X,X,X,X,X
TTOISZJL,X,X,X,X,X
TTOIZLJS,X,X,X,X,X
TTOIZLSJ,X,X,X,X,X
TTOIZJLS,X,X,X,X,X
TTOIZJSL,X,X,X,X,X
TTOIZSLJ,X,X,X,X,X
TTOIZSJL,X,X,X,X,X
TTOLIJSZ,X,X,X,X,X
TTOLIJZS,X,X,X,X,X
TTOLISJZ,X,X,X,X,X
TTOLISZJ,X,X,X,X,X
TTOLIZJS,X,X,X,X,X
TTOLIZSJ,X,X,X,X,X
TTOLJISZ,X,X,X,X,X
TTOLJIZS,X,X,X,X,X
TTOLJSIZ,X,X,X,X,X
TTOLJSZI,X,X,X,X,X
TTOLJZIS,X,X,X,X,X
TTOLJZSI,X,X,X,X,X
TTOLSIJZ,X,X,X,X,X
